,Dataset.Name,X,dataset.index,ID,Species,Treatment,Patients,Cells,Platform,Pri...Meta,PMID,major.cts,minor.cts,endo.ist,folder_size,ISCVAM_simple,pipeline_interactively,pipeline_without_targets_HPC,pipeline_without_targets_Mac,Number_of_cells,gse_only,cancer.type,glioma.in.gaby,notes,running.time.job.array,JobID,outputFile.name,dataset.name,numb.of.cells,running.time,JobName,Partition,Account,AllocCPUS,State,ExitCode,Elapsed,MaxRSS,MaxVMSize,ReqMem,TotalCPU,file.size,date.modification,time.modification,file.name,State_h5,in_df_name,name,path
0,AEL_GSE142213,25,25,T010001,Human,,2.0,"3,994",10x Genomics,Primary,32330454.0,"Malignant, Mono/Macro, NK, Plasma","M2, Malignant, NK, Plasma",False,69.7,,,,,3994,GSE142213,AEL,False,,,7587837_25,array_7587837_25.out,AEL_GSE142213,3994,10.1595934470495,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:10:13,,,24000M,10:14.9,41M,6-Aug,15:51,AEL_GSE142213.pipeline.h5,COMPLETED,True,AEL_GSE142213.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/AEL_GSE142213.pipeline.h5
1,ALL_GSE132509,148,148,T010002,Human,,11.0,"37,936",10x Genomics,Primary,32415257.0,"B, CD4Tconv, CD8T, Erythrocytes, Malignant, Mono/Macro, Tprolif","B, CD4Tn, CD8Tcm, CD8Tn, Erythrocytes, Malignant, Monocyte, Tprolif",False,532.9,,,,,37936,GSE132509,ALL,False,,,7594682_148,array_7594682_148.out,ALL_GSE132509,37936,2.4653687968519,array,redwood-s+,owner-gue+,12.0,COMPLETED,0:00,2:28:06,,,125G,2:29:37,196M,6-Aug,15:51,ALL_GSE132509.pipeline.h5,COMPLETED,True,ALL_GSE132509.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/ALL_GSE132509.pipeline.h5
2,ALL_GSE153697,13,13,T020082,Human,Immunotherapy,1.0,"2,904",10x Genomics,Relapsed,33558546.0,"B, Malignant, Mono/Macro, NK, Plasma","B, Malignant, Mono/Macro, NK, Plasma",False,59.9,,,,,2904,GSE153697,ALL,False,,,7587776_13,array_7587776_13.out,ALL_GSE153697,2904,11.0409012794495,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:11:06,,,24000M,11:07.6,34M,6-Aug,15:51,ALL_GSE153697.pipeline.h5,COMPLETED,True,ALL_GSE153697.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/ALL_GSE153697.pipeline.h5
3,ALL_GSE154109,81,81,T020083,Human,,7.0,"10,800",10x Genomics,Primary,32692727.0,"B, CD8T, EryPro, Malignant, Mono/Macro, NK","B, CD8Tcm, CD8Tn, EryPro, Malignant, Monocyte, NK",False,132.6,,,,,10800,GSE154109,ALL,False,,,7589709_81,array_7589709_81.out,ALL_GSE154109,found,not_complete,array,ychen-sha+,ychen-rw,12.0,FAILED,1:00,0:00:18,,,24000M,00:14.7,62M,16-Aug,15:29,ALL_GSE154109.pipeline.h5,COMPLETED,True,ALL_GSE154109.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/ALL_GSE154109.pipeline.h5
4,AML_GSE116256,149,149,T010003,Human,,21.0,"38,348",Smart-seq2,Primary,30827681.0,"B, CD4Tconv, CD8T, EryPro, GMP, HSC, Malignant, Mono/Macro, NK, Plasma, Progenitor, Promonocyte, Tprolif","B, CD4Tn, CD8Tcm, EryPro, GMP, HSC, Malignant, Monocyte, NK, Plasma, Progenitor, Promonocyte, Tprolif",False,356.5,,,,,38348,GSE116256,AML,False,,,7594682_149,array_7594682_149.out,AML_GSE116256,38348,2.66629610021909,array,redwood-s+,owner-gue+,12.0,COMPLETED,0:00,2:40:11,,,125G,2:41:39,152M,6-Aug,15:51,AML_GSE116256.pipeline.h5,COMPLETED,True,AML_GSE116256.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/AML_GSE116256.pipeline.h5
5,AML_GSE135851,4,4,T020084,Human,,1.0,"1,794",10x Genomics,Primary,32603599.0,"CD8T, Endothelial, Malignant, Mast, Mono/Macro","CD8Tem, Endothelial, M2, Malignant, Mast, Monocyte",True,35.3,,,,,1794,GSE135851,AML,False,,,7587715_4,array_7587715_4.out,AML_GSE135851,1794,8.52997880776723,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:08:36,,,24000M,08:34.8,29M,6-Aug,15:51,AML_GSE135851.pipeline.h5,COMPLETED,True,AML_GSE135851.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/AML_GSE135851.pipeline.h5
6,AML_GSE147989,56,56,T010004,Human,Targeted therapy,2.0,"7,389",10x Genomics,Primary,32601337.0,HSC,HSC,False,139.5,,,,,7389,GSE147989,AML,False,,,7589664_56,array_7589664_56.out,AML_GSE147989,7389,14.7516664624214,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:14:49,,,24000M,14:47.7,43M,6-Aug,15:51,AML_GSE147989.pipeline.h5,COMPLETED,True,AML_GSE147989.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/AML_GSE147989.pipeline.h5
7,AML_GSE154109,70,70,T020085,Human,,8.0,"9,623",10x Genomics,Primary,32692727.0,"B, CD8T, CD8Tex, EryPro, Malignant, Mono/Macro","B, CD8Tem, CD8Tex, cDC1, EryPro, M1, Malignant, Monocyte",False,181.2,,,,,9623,GSE154109,AML,False,,,7589680_70,array_7589680_70.out,AML_GSE154109,10799,26.5593672951063,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:26:38,,,24000M,26:44.6,79M,6-Aug,15:51,AML_GSE154109.pipeline.h5,COMPLETED,True,AML_GSE154109.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/AML_GSE154109.pipeline.h5
8,BCC_GSE123813_aPD1,163,161,T010005,Human,Immunotherapy,11.0,"52,884",10x Genomics,Metastatic,31359002.0,"B, CD4Tconv, CD8T, CD8Tex, DC, Endothelial, Fibroblasts, Malignant, Mast, Melanocytes, Mono/Macro, Myofibroblasts, NK, Plasma, Tprolif, Treg","B, CD4Tn, CD8Tcm, CD8Tex, cDC1, Endothelial, Fibroblasts, M1, Malignant, Mast, Melanocytes, Monocyte, Myofibroblasts, NK, pDC, Plasma, Tfh, Th1, Tprolif, Treg",True,835.3,,,,,52884,GSE123813,BCC,False,,,7599437_161,array_7599437_161.out,BCC_GSE123813_aPD1,52884,not_complete,array,ychen-sha+,ychen-rw,12.0,FAILED,9:00,1:03:01,,,24000M,1:02:50,309M,9-Aug,14:55,BCC_GSE123813_aPD1.pipeline.h5,COMPLETED,True,BCC_GSE123813_aPD1.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BCC_GSE123813_aPD1.pipeline.h5
9,BCC_GSE141526,165,163,T020086,Human,,6.0,"56,116",10x Genomics,Primary,33033234.0,"CD8Tex, DC, Endothelial, Fibroblasts, Keratinocytes, Malignant, Myofibroblasts","CD8Tex, Endothelial, Fibroblasts, Keratinocytes, M2, Malignant, Myofibroblasts",True,981.1,,,,,56116,GSE141526,BCC,False,,,7599437_163,array_7599437_163.out,BCC_GSE141526,56116,not_complete,array,ychen-sha+,ychen-rw,12.0,FAILED,9:00,1:11:10,,,24000M,1:10:57,334M,9-Aug,14:55,BCC_GSE141526.pipeline.h5,COMPLETED,True,BCC_GSE141526.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BCC_GSE141526.pipeline.h5
10,BLCA_GSE130001,27,27,T010006,Human,,2.0,"4,129",10x Genomics,Primary,32111252.0,"Endothelial, Epithelial, Fibroblasts, Myofibroblasts","Endothelial, Epithelial, Fibroblasts, Myofibroblasts",True,94.0,,,,,4129,GSE130001,BLCA,False,,,7587837_27,array_7587837_27.out,BLCA_GSE130001,4129,15.5933609763781,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:15:40,,,24000M,15:43.0,47M,6-Aug,15:51,BLCA_GSE130001.pipeline.h5,COMPLETED,True,BLCA_GSE130001.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BLCA_GSE130001.pipeline.h5
11,BLCA_GSE145281_aPDL1,105,105,T010007,Human,Immunotherapy,10.0,"14,462",10x Genomics,Metastatic,32405063.0,"B, CD4Tconv, CD8T, Mono/Macro, NK","B, CD4Tn, CD8Tcm, CD8Teff, CD8Tn, M1, M2, Monocyte, NK",False,116.0,,,,,14462,GSE145281,BLCA,False,,,7592404_105,array_7592404_105.out,BLCA_GSE145281_aPDL1,14474,24.9965497334798,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:25:04,,,24000M,25:09.5,49M,6-Aug,15:51,BLCA_GSE145281_aPDL1.pipeline.h5,COMPLETED,True,BLCA_GSE145281_aPDL1.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BLCA_GSE145281_aPDL1.pipeline.h5
12,BLCA_GSE149652,108,108,T020087,Human,Immunotherapy/Chemotherapy,7.0,"15,538",10x Genomics,Primary,32497499.0,"CD4Tconv, CD8T, CD8Tex, NK, Tprolif, Treg","CD4Tconv, CD8T, CD8Tex, NK, Tprolif, Treg",False,99.6,,,,,15538,GSE149652,BLCA,False,,,7592404_108,array_7592404_108.out,BLCA_GSE149652,15538,32.256417731444,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:32:20,,,24000M,32:24.6,38M,6-Aug,15:51,BLCA_GSE149652.pipeline.h5,COMPLETED,True,BLCA_GSE149652.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BLCA_GSE149652.pipeline.h5
13,BRCA_EMTAB8107,140,140,T020088,Human,,14.0,"33,043",10x Genomics,Primary,32561858.0,"B, CD8T, CD8Tex, Endothelial, Fibroblasts, Malignant, Mast, Mono/Macro, Myofibroblasts, Plasma, Tprolif","B, CD8Tcm, CD8Tex, Endothelial, Fibroblasts, M1, Malignant, Mast, Myofibroblasts, Plasma, Tprolif",True,565.5,,,,,33043,EMTAB8107,BRCA,False,,,7594525_140,array_7594525_140.out,BRCA_EMTAB8107,33043,not_complete,array,ychen-sha+,ychen-rw,12.0,FAILED,9:00,1:17:22,,,24000M,1:17:22,213M,16-Aug,15:29,BRCA_EMTAB8107.pipeline.h5,COMPLETED,True,BRCA_EMTAB8107.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/BRCA_EMTAB8107.pipeline.h5
14,BRCA_GSE110686,47,47,T010008,Human,,2.0,"6,035",10x Genomics,"Primary, Metastatic",29942092.0,"CD4Tconv, CD8T, CD8Tex, Mono/Macro, Tprolif, Treg","CD4Tn, CD8Tcm, CD8Teff, CD8Tem, CD8Tex, M1, Tfh, Th17, Th2, Tprolif, Treg",False,59.3,,,,,6035,GSE110686,BRCA,False,,,7588117_47,array_7588117_47.out,BRCA_GSE110686,6035,16.2450054804484,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:16:18,,,24000M,16:19.8,24M,6-Aug,15:51,BRCA_GSE110686.pipeline.h5,COMPLETED,True,BRCA_GSE110686.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BRCA_GSE110686.pipeline.h5
15,BRCA_GSE114727_10X,133,133,T010009,Human,,3.0,"28,678",10x Genomics,Primary,29961579.0,"CD4Tconv, CD8T, CD8Tex, Tprolif, Treg","CD4Tn, CD8Tcm, CD8Tem, CD8Tex, CD8Tn, Others, Tfh, Th1, Th17, Tprolif, Treg",False,425.4,,,,,28678,GSE114727,BRCA,False,,,7594525_133,array_7594525_133.out,BRCA_GSE114727_10X,28678,not_complete,array,ychen-sha+,ychen-rw,12.0,FAILED,9:00,1:02:29,,,24000M,1:02:30,146M,16-Aug,15:29,BRCA_GSE114727_10X.pipeline.h5,COMPLETED,True,BRCA_GSE114727_10X.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/BRCA_GSE114727_10X.pipeline.h5
16,BRCA_GSE114727_inDrop,117,117,T010010,Human,,8.0,"19,676",inDrop,Primary,29961579.0,"B, CD4Tconv, CD8T, DC, Endothelial, Fibroblasts, Mast, Mono/Macro, Myofibroblasts, Neutrophils, NK","B, CD4Tn, CD8Tcm, CD8Tem, cDC2, Endothelial, Fibroblasts, M1, M2, Mast, Monocyte, Myofibroblasts, Neutrophils, NK, pDC",True,161.8,,,,,19676,GSE114727,BRCA,False,,,7592414_117,array_7592414_117.out,BRCA_GSE114727_inDrop,19676,41.4404360493024,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:41:31,,,24000M,41:39.9,82M,6-Aug,15:51,BRCA_GSE114727_inDrop.pipeline.h5,COMPLETED,True,BRCA_GSE114727_inDrop.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BRCA_GSE114727_inDrop.pipeline.h5
17,BRCA_GSE136206_mouse_aPD1aCTLA4,130,130,T010011,Mouse,Immunotherapy,,"27,532",10x Genomics,Primary,31730857.0,0,0,False,0.0,,,,,27532,GSE136206,BRCA,False,,,7594515_130,array_7594515_130.out,BRCA_GSE136206_mouse_aPD1aCTLA4,27532,not_complete,array,ychen-sha+,ychen-rw,12.0,FAILED,9:00,0:49:59,,,24000M,49:55.6,197M,16-Aug,15:29,BRCA_GSE136206_mouse_aPD1aCTLA4.pipeline.h5,COMPLETED,True,BRCA_GSE136206_mouse_aPD1aCTLA4.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/BRCA_GSE136206_mouse_aPD1aCTLA4.pipeline.h5
18,BRCA_GSE138536,6,6,T010012,Human,,8.0,"1,902",Smart-seq2,Primary,31974247.0,"Epithelial, Fibroblasts, Mono/Macro, Myofibroblasts","Epithelial, Fibroblasts, Monocyte, Myofibroblasts",False,54.5,,,,,1902,GSE138536,BRCA,False,,,7587715_6,array_7587715_6.out,BRCA_GSE138536,1902,10.910579307874,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:10:58,,,24000M,10:56.9,38M,6-Aug,15:51,BRCA_GSE138536.pipeline.h5,COMPLETED,True,BRCA_GSE138536.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BRCA_GSE138536.pipeline.h5
19,BRCA_GSE143423,29,29,T010013,Human,,2.0,"4,375",10x Genomics,Metastatic,,"Malignant, Mono/Macro, Oligodendrocyte","M1, Malignant, Oligodendrocyte",False,133.3,,,,,4375,GSE143423,BRCA,False,,,7587837_29,array_7587837_29.out,BRCA_GSE143423,4375,15.6979150176048,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:15:44,,,24000M,15:49.9,56M,6-Aug,15:51,BRCA_GSE143423.pipeline.h5,COMPLETED,True,BRCA_GSE143423.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BRCA_GSE143423.pipeline.h5
20,BRCA_GSE148673,76,76,T020089,Human,,6.0,"10,359",10x Genomics,Primary,33462507.0,"B, CD4Tconv, CD8T, Endothelial, Epithelial, Fibroblasts, Malignant, Mono/Macro, Tprolif","B, CD4Tconv, CD8T, Endothelial, Epithelial, Fibroblasts, Malignant, Mono/Macro, Tprolif",True,324.8,,,,,10359,GSE148673,BRCA,False,,,7589699_76,array_7589699_76.out,BRCA_GSE148673,10359,33.4133712132772,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:33:29,,,24000M,33:42.8,134M,6-Aug,15:51,BRCA_GSE148673.pipeline.h5,COMPLETED,True,BRCA_GSE148673.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BRCA_GSE148673.pipeline.h5
21,BRCA_GSE150660,80,80,T020090,Human,,3.0,"10,605",10x Genomics,Metastatic,32675368.0,"B, CD4Tconv, CD8T, DC, Malignant, Mono/Macro, NK","B, CD4Tn, CD8Tcm, cDC2, M1, Malignant, Monocyte, NK",False,148.6,,,,,10605,GSE150660,BRCA,False,,,7589699_80,array_7589699_80.out,BRCA_GSE150660,10605,27.781413213412,array,ychen-sha+,ychen-rw,12.0,COMPLETED,0:00,0:27:51,,,24000M,27:58.8,63M,6-Aug,15:51,BRCA_GSE150660.pipeline.h5,COMPLETED,True,BRCA_GSE150660.pipeline,/uufs/chpc.utah.edu/common/home/ychen-group1/ISCVAM_complied_h5/iscvam_complied_h5/BRCA_GSE150660.pipeline.h5
