"Dataset.Name","X","dataset.index","ID","Species","Treatment","Patients","Cells","Platform","Pri...Meta","PMID","major.cts","minor.cts","endo.ist","folder_size","ISCVAM_simple","pipeline_interactively","pipeline_without_targets_HPC","pipeline_without_targets_Mac","Number_of_cells","gse_only","cancer.type","glioma.in.gaby","notes","running.time.job.array","JobID","outputFile.name","dataset.name","numb.of.cells","running.time","JobName","Partition","Account","AllocCPUS","State","ExitCode","Elapsed","MaxRSS","MaxVMSize","ReqMem","TotalCPU","file.size","date.modification","time.modification","file.name","State_h5"
"AEL_GSE142213",25,25,"T010001","Human","None",2,"3,994","10x Genomics","Primary","32330454","Malignant, Mono/Macro, NK, Plasma","M2, Malignant, NK, Plasma",FALSE,69.7,NA,NA,"",NA,3994,"GSE142213","AEL",FALSE,"",NA,"7587837_25","array_7587837_25.out","AEL_GSE142213","3994","10.1595934470495","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:10:13",NA,NA,"24000M","10:14.9","41M","6-Aug","15:51","AEL_GSE142213.pipeline.h5","COMPLETED"
"ALL_GSE132509",148,148,"T010002","Human","None",11,"37,936","10x Genomics","Primary","32415257","B, CD4Tconv, CD8T, Erythrocytes, Malignant, Mono/Macro, Tprolif","B, CD4Tn, CD8Tcm, CD8Tn, Erythrocytes, Malignant, Monocyte, Tprolif",FALSE,532.9,NA,NA,"",NA,37936,"GSE132509","ALL",FALSE,"",NA,"7594682_148","array_7594682_148.out","ALL_GSE132509","37936","2.4653687968519","array","redwood-s+","owner-gue+",12,"COMPLETED","0:00","2:28:06",NA,NA,"125G","2:29:37","196M","6-Aug","15:51","ALL_GSE132509.pipeline.h5","COMPLETED"
"ALL_GSE153697",13,13,"T020082","Human","Immunotherapy",1,"2,904","10x Genomics","Relapsed","33558546","B, Malignant, Mono/Macro, NK, Plasma","B, Malignant, Mono/Macro, NK, Plasma",FALSE,59.9,NA,NA,"",NA,2904,"GSE153697","ALL",FALSE,"",NA,"7587776_13","array_7587776_13.out","ALL_GSE153697","2904","11.0409012794495","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:11:06",NA,NA,"24000M","11:07.6","34M","6-Aug","15:51","ALL_GSE153697.pipeline.h5","COMPLETED"
"ALL_GSE154109",81,81,"T020083","Human","None",7,"10,800","10x Genomics","Primary","32692727","B, CD8T, EryPro, Malignant, Mono/Macro, NK","B, CD8Tcm, CD8Tn, EryPro, Malignant, Monocyte, NK",FALSE,132.6,NA,NA,"",NA,10800,"GSE154109","ALL",FALSE,"",NA,"7589709_81","array_7589709_81.out","ALL_GSE154109","found","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","1:00","0:00:18",NA,NA,"24000M","00:14.7","62M","16-Aug","15:29","ALL_GSE154109.pipeline.h5","COMPLETED"
"AML_GSE116256",149,149,"T010003","Human","None",21,"38,348","Smart-seq2","Primary","30827681","B, CD4Tconv, CD8T, EryPro, GMP, HSC, Malignant, Mono/Macro, NK, Plasma, Progenitor, Promonocyte, Tprolif","B, CD4Tn, CD8Tcm, EryPro, GMP, HSC, Malignant, Monocyte, NK, Plasma, Progenitor, Promonocyte, Tprolif",FALSE,356.5,NA,NA,"",NA,38348,"GSE116256","AML",FALSE,"",NA,"7594682_149","array_7594682_149.out","AML_GSE116256","38348","2.66629610021909","array","redwood-s+","owner-gue+",12,"COMPLETED","0:00","2:40:11",NA,NA,"125G","2:41:39","152M","6-Aug","15:51","AML_GSE116256.pipeline.h5","COMPLETED"
"AML_GSE135851",4,4,"T020084","Human","None",1,"1,794","10x Genomics","Primary","32603599","CD8T, Endothelial, Malignant, Mast, Mono/Macro","CD8Tem, Endothelial, M2, Malignant, Mast, Monocyte",TRUE,35.3,NA,NA,"",NA,1794,"GSE135851","AML",FALSE,"",NA,"7587715_4","array_7587715_4.out","AML_GSE135851","1794","8.52997880776723","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:08:36",NA,NA,"24000M","08:34.8","29M","6-Aug","15:51","AML_GSE135851.pipeline.h5","COMPLETED"
"AML_GSE147989",56,56,"T010004","Human","Targeted therapy",2,"7,389","10x Genomics","Primary","32601337","HSC","HSC",FALSE,139.5,NA,NA,"",NA,7389,"GSE147989","AML",FALSE,"",NA,"7589664_56","array_7589664_56.out","AML_GSE147989","7389","14.7516664624214","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:14:49",NA,NA,"24000M","14:47.7","43M","6-Aug","15:51","AML_GSE147989.pipeline.h5","COMPLETED"
"AML_GSE154109",70,70,"T020085","Human","None",8,"9,623","10x Genomics","Primary","32692727","B, CD8T, CD8Tex, EryPro, Malignant, Mono/Macro","B, CD8Tem, CD8Tex, cDC1, EryPro, M1, Malignant, Monocyte",FALSE,181.2,NA,NA,"",NA,9623,"GSE154109","AML",FALSE,"",NA,"7589680_70","array_7589680_70.out","AML_GSE154109","10799","26.5593672951063","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:26:38",NA,NA,"24000M","26:44.6","79M","6-Aug","15:51","AML_GSE154109.pipeline.h5","COMPLETED"
"BCC_GSE123813_aPD1",163,161,"T010005","Human","Immunotherapy",11,"52,884","10x Genomics","Metastatic","31359002","B, CD4Tconv, CD8T, CD8Tex, DC, Endothelial, Fibroblasts, Malignant, Mast, Melanocytes, Mono/Macro, Myofibroblasts, NK, Plasma, Tprolif, Treg","B, CD4Tn, CD8Tcm, CD8Tex, cDC1, Endothelial, Fibroblasts, M1, Malignant, Mast, Melanocytes, Monocyte, Myofibroblasts, NK, pDC, Plasma, Tfh, Th1, Tprolif, Treg",TRUE,835.3,NA,NA,"",NA,52884,"GSE123813","BCC",FALSE,"",NA,"7599437_161","array_7599437_161.out","BCC_GSE123813_aPD1","52884","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","9:00","1:03:01",NA,NA,"24000M","1:02:50","309M","9-Aug","14:55","BCC_GSE123813_aPD1.pipeline.h5","COMPLETED"
"BCC_GSE141526",165,163,"T020086","Human","None",6,"56,116","10x Genomics","Primary","33033234","CD8Tex, DC, Endothelial, Fibroblasts, Keratinocytes, Malignant, Myofibroblasts","CD8Tex, Endothelial, Fibroblasts, Keratinocytes, M2, Malignant, Myofibroblasts",TRUE,981.1,NA,NA,"",NA,56116,"GSE141526","BCC",FALSE,"",NA,"7599437_163","array_7599437_163.out","BCC_GSE141526","56116","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","9:00","1:11:10",NA,NA,"24000M","1:10:57","334M","9-Aug","14:55","BCC_GSE141526.pipeline.h5","COMPLETED"
