Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	Mono/Macro	Monocyte	S100A9	2.2	100.0	5.13e-119
0	Immune cells	Mono/Macro	Monocyte	S100A12	2.02	98.2	8.4e-119
0	Immune cells	Mono/Macro	Monocyte	S100A8	2.27	100.0	1.14e-117
0	Immune cells	Mono/Macro	Monocyte	RP11-1143G9.4	1.67	100.0	4.75e-110
0	Immune cells	Mono/Macro	Monocyte	S100A6	1.24	100.0	7.01e-107
0	Immune cells	Mono/Macro	Monocyte	VCAN	1.59	94.3	5.02e-104
0	Immune cells	Mono/Macro	Monocyte	LYZ	1.6	100.0	4.89e-99
0	Immune cells	Mono/Macro	Monocyte	MNDA	1.44	94.0	3.7e-97
0	Immune cells	Mono/Macro	Monocyte	FCN1	1.39	95.4	9.64e-95
0	Immune cells	Mono/Macro	Monocyte	TYROBP	1.23	100.0	1.36e-86
0	Immune cells	Mono/Macro	Monocyte	FTL	1.15	100.0	9.6e-86
0	Immune cells	Mono/Macro	Monocyte	CTSS	1.24	99.6	3.69e-83
0	Immune cells	Mono/Macro	Monocyte	CSTA	1.21	87.9	4.61e-80
0	Immune cells	Mono/Macro	Monocyte	TSPO	1.16	96.4	7.73e-80
0	Immune cells	Mono/Macro	Monocyte	RGS2	1.29	82.2	3.77e-73
0	Immune cells	Mono/Macro	Monocyte	LGALS1	1.11	98.2	1.56e-72
0	Immune cells	Mono/Macro	Monocyte	TKT	1.12	90.7	8.06e-72
0	Immune cells	Mono/Macro	Monocyte	LST1	1.04	95.4	2.8e-68
0	Immune cells	Mono/Macro	Monocyte	GAPDH	0.8	99.6	3.49e-68
0	Immune cells	Mono/Macro	Monocyte	CST3	1.06	98.2	1.6e-67
0	Immune cells	Mono/Macro	Monocyte	NCF1	1.2	85.1	2.53e-66
0	Immune cells	Mono/Macro	Monocyte	AIF1	1.01	92.9	1.32e-64
0	Immune cells	Mono/Macro	Monocyte	GCA	1.17	74.7	1.63e-64
0	Immune cells	Mono/Macro	Monocyte	GRN	1.13	82.9	1.67e-64
0	Immune cells	Mono/Macro	Monocyte	RBP7	1.23	65.1	2.1e-64
0	Immune cells	Mono/Macro	Monocyte	PSAP	0.96	95.4	1.33e-62
0	Immune cells	Mono/Macro	Monocyte	PTPRCAP	-1.82	3.6	2.79e-62
0	Immune cells	Mono/Macro	Monocyte	S100A11	0.93	95.0	6.84e-62
0	Immune cells	Mono/Macro	Monocyte	S100A4	0.75	100.0	2.17e-60
0	Immune cells	Mono/Macro	Monocyte	CD14	1.05	70.1	6.33e-59
0	Immune cells	Mono/Macro	Monocyte	FCER1G	0.93	96.1	9.53e-58
0	Immune cells	Mono/Macro	Monocyte	RPSA	-1.09	77.9	9.41e-57
0	Immune cells	Mono/Macro	Monocyte	RPS27	-0.7	100.0	2.07e-56
0	Immune cells	Mono/Macro	Monocyte	RPL3	-0.81	96.8	1.51e-55
0	Immune cells	Mono/Macro	Monocyte	IL32	-2.2	9.6	6.01e-55
0	Immune cells	Mono/Macro	Monocyte	MS4A6A	0.93	80.1	6.51e-55
0	Immune cells	Mono/Macro	Monocyte	GPX1	0.62	98.2	8.44e-55
0	Immune cells	Mono/Macro	Monocyte	RPL23A	-0.79	98.9	8.66e-55
0	Immune cells	Mono/Macro	Monocyte	TMEM176B	0.98	69.8	1.75e-53
0	Immune cells	Mono/Macro	Monocyte	EVL	-1.32	8.9	2.25e-53
0	Immune cells	Mono/Macro	Monocyte	RPSAP58	-1.09	61.2	4.16e-53
0	Immune cells	Mono/Macro	Monocyte	MALAT1	-1.02	100.0	4.16e-53
0	Immune cells	Mono/Macro	Monocyte	RPS29	-0.74	99.6	2.16e-52
0	Immune cells	Mono/Macro	Monocyte	KCTD12	1.0	67.6	2.86e-52
0	Immune cells	Mono/Macro	Monocyte	H3F3A	0.59	99.3	1.35e-51
0	Immune cells	Mono/Macro	Monocyte	CYBB	1.01	71.9	3.04e-51
0	Immune cells	Mono/Macro	Monocyte	MT-CO3	0.46	100.0	5.62e-51
0	Immune cells	Mono/Macro	Monocyte	NUP214	1.0	70.5	8.28e-51
0	Immune cells	Mono/Macro	Monocyte	OAZ1	0.55	99.3	3.03e-50
0	Immune cells	Mono/Macro	Monocyte	FPR1	0.94	60.1	3.71e-50
0	Immune cells	Mono/Macro	Monocyte	STXBP2	1.11	77.6	4.94e-50
0	Immune cells	Mono/Macro	Monocyte	AP1S2	0.87	88.3	1.05e-49
0	Immune cells	Mono/Macro	Monocyte	VIM	0.76	97.2	2.81e-47
0	Immune cells	Mono/Macro	Monocyte	FGL2	0.85	78.6	4.38e-47
0	Immune cells	Mono/Macro	Monocyte	CD3D	-1.56	6.8	1.19e-46
0	Immune cells	Mono/Macro	Monocyte	PLBD1	1.08	54.8	2.12e-46
0	Immune cells	Mono/Macro	Monocyte	CD36	0.9	67.6	2.51e-45
0	Immune cells	Mono/Macro	Monocyte	B2M	-0.54	100.0	4.72e-45
0	Immune cells	Mono/Macro	Monocyte	FTH1	0.6	100.0	8.4e-45
0	Immune cells	Mono/Macro	Monocyte	CDA	0.85	53.7	9.79e-45
0	Immune cells	Mono/Macro	Monocyte	APLP2	0.92	67.3	1.02e-44
0	Immune cells	Mono/Macro	Monocyte	CCL5	-2.45	25.6	1.16e-44
0	Immune cells	Mono/Macro	Monocyte	PGD	0.91	58.4	5.37e-44
0	Immune cells	Mono/Macro	Monocyte	RPS3	-0.63	99.6	2.69e-43
0	Immune cells	Mono/Macro	Monocyte	ATP5E	0.51	99.3	3.63e-43
0	Immune cells	Mono/Macro	Monocyte	FOS	0.86	84.3	5.16e-43
0	Immune cells	Mono/Macro	Monocyte	RPS19	-0.67	99.3	6.99e-43
0	Immune cells	Mono/Macro	Monocyte	CD2	-1.46	5.0	2.17e-42
0	Immune cells	Mono/Macro	Monocyte	CFD	0.83	68.0	3.88e-42
0	Immune cells	Mono/Macro	Monocyte	EEF1A1	-0.49	100.0	6.32e-42
0	Immune cells	Mono/Macro	Monocyte	CTSD	0.9	81.9	7.55e-42
0	Immune cells	Mono/Macro	Monocyte	DUSP1	0.79	84.7	1.06e-41
