"Dataset.Name","dataset.index","ID","Species","Treatment","Patients","Cells","Platform","Pri...Meta","PMID","major.cts","minor.cts","malignant.cts","endo.ist","folder_size","ISCVAM_simple","pipeline_interactively","pipeline_without_targets_HPC","pipeline_without_targets_Mac","Number_of_cells","gse_only","cancer.type","glioma.in.gaby","notes","running.time.job.array","JobID","outputFile.name","dataset.name","numb.of.cells","running.time","JobName","Partition","Account","AllocCPUS","State","ExitCode","Elapsed","MaxRSS","MaxVMSize","ReqMem","TotalCPU","file.size","date.modification","time.modification","file.name","State_h5","secondStage_JobID","secondStage_batch.job","secondStage_JobName","secondStage_AllocCPUS","secondStage_State","secondStage_Elapsed","secondStage_ReqMem","secondStage_ReqTRES","secondStage_TotalCPU","secondStage_date.process","secondStage_State_clean","secondStage_ReqMem_clean","secondStage_ReqTRES_clean","secondStage_CPU.time.used","secondStage_DiskSpaceUsed_clean","secondStage_PhysicalMemoryUsed_clean","secondStage_VirtualMemoryUsed_clean","secondStage_h5.name","h5_fileSize","h5_filename","secondStage_h5.completed"
"NSCLC_GSE127471",1,"T010059","Human","None",1,"1,108","10x Genomics","Primary","31061481","B, CD4Tconv, CD8T, CD8Tex, Mono/Macro, NK, Others","B, CD4Tn, CD8Tex, M1, Monocyte, NK, NKT, Others","Immune cells, Others",FALSE,16.5,NA,NA,"",NA,1108,"GSE127471","NSCLC",FALSE,"",NA,"7587702_1","array_7587702_1.out","NSCLC_GSE127471","1108","4.46542505","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:04:31",NA,NA,"24000M","03:49.0","14M","6-Aug","15:52","NSCLC_GSE127471.pipeline.h5","COMPLETED","7723917_1",7723917,"array",24,"COMPLETED","0:01:59","48000M","billing=2+","01:52.9",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:01:53 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=2207944K mem=0"," vmem=2873904K vmem=0","NSCLC_GSE127471.secondStage.h5","17M","NSCLC_GSE127471.secondStage.h5","yes"
"DLBC_GSE175510",2,"T020138","Human","None",8,"1,412","Smart-seq2","Primary","34471864","B, CD8T, Malignant, Mono/Macro","B, M2, MAIT, Malignant","Immune cells, Malignant cells",FALSE,19.3,NA,NA,"",NA,1412,"GSE175510","DLBC",FALSE,"",NA,"7587702_2","array_7587702_2.out","DLBC_GSE175510","1412","5.780002971","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:05:50",NA,NA,"24000M","05:49.7","15M","6-Aug","15:51","DLBC_GSE175510.pipeline.h5","COMPLETED","7723917_2",7723917,"array",24,"COMPLETED","0:02:23","48000M","billing=2+","02:18.5",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:02:18 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=2018444K mem=0"," vmem=2280348K vmem=0","DLBC_GSE175510.secondStage.h5","19M","DLBC_GSE175510.secondStage.h5","yes"
"THCA_GSE163203",3,"T020185","Human","None",8,"1,561","Microwell-seq","Primary","34805166","Epithelial, Fibroblasts, Mono/Macro, pDC, Plasma","Epithelial, Fibroblasts, Mono/Macro, pDC, Plasma","Immune cells, Stromal cells",FALSE,15.6,NA,NA,"",NA,1561,"GSE163203","THCA",FALSE,"",NA,"7587715_3","array_7587715_3.out","THCA_GSE163203","1561","5.945171293","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:06:00",NA,NA,"24000M","05:57.4","11M","6-Aug","15:52","THCA_GSE163203.pipeline.h5","COMPLETED","7723917_3",7723917,"array",24,"COMPLETED","0:02:09","48000M","billing=2+","02:01.8",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:02:01 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=2060472K mem=0"," vmem=2481460K vmem=0","THCA_GSE163203.secondStage.h5","13M","THCA_GSE163203.secondStage.h5","yes"
"AML_GSE135851",4,"T020084","Human","None",1,"1,794","10x Genomics","Primary","32603599","CD8T, Endothelial, Malignant, Mast, Mono/Macro","CD8Tem, Endothelial, M2, Malignant, Mast, Monocyte","Immune cells, Malignant cells, Stromal cells",TRUE,35.3,NA,NA,"",NA,1794,"GSE135851","AML",FALSE,"",NA,"7587715_4","array_7587715_4.out","AML_GSE135851","1794","8.529978808","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:08:36",NA,NA,"24000M","08:34.8","29M","6-Aug","15:51","AML_GSE135851.pipeline.h5","COMPLETED","7723917_4",7723917,"array",24,"COMPLETED","0:03:11","48000M","billing=2+","03:09.2",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:03:08 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=2748888K mem=0"," vmem=3400872K vmem=0","AML_GSE135851.secondStage.h5","35M","AML_GSE135851.secondStage.h5","yes"
"CRC_GSE120909_mouse_aPD1",5,"T010022","Mouse","Immunotherapy",NA,"1,881","Smart-seq","Primary","30389797","CD8T, CD8Tex, DC, Mono/Macro, Neutrophils","CD8Tex, M2, Monocyte, Neutrophils, Others, pDC","Immune cells",FALSE,30.7,NA,NA,"",NA,1881,"GSE120909","CRC",FALSE,"",NA,"7587715_5","array_7587715_5.out","CRC_GSE120909_mouse_aPD1","1881","7.751316098","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:07:49",NA,NA,"24000M","07:48.6","22M","6-Aug","15:51","CRC_GSE120909_mouse_aPD1.pipeline.h5","COMPLETED","7723917_5",7723917,"array",24,"COMPLETED","0:02:29","48000M","billing=2+","02:26.2",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:02:25 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=2431380K mem=0"," vmem=2767204K vmem=0","CRC_GSE120909_mouse_aPD1.secondStage.h5","25M","CRC_GSE120909_mouse_aPD1.secondStage.h5","yes"
"BRCA_GSE138536",6,"T010012","Human","None",8,"1,902","Smart-seq2","Primary","31974247","Epithelial, Fibroblasts, Mono/Macro, Myofibroblasts","Epithelial, Fibroblasts, Monocyte, Myofibroblasts","Immune cells, Stromal cells",FALSE,54.5,NA,NA,"",NA,1902,"GSE138536","BRCA",FALSE,"",NA,"7587715_6","array_7587715_6.out","BRCA_GSE138536","1902","10.91057931","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:10:58",NA,NA,"24000M","10:56.9","38M","6-Aug","15:51","BRCA_GSE138536.pipeline.h5","COMPLETED","7723917_6",7723917,"array",24,"COMPLETED","0:03:13","48000M","billing=2+","03:13.0",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:03:13 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=2967772K mem=0"," vmem=3404268K vmem=0","BRCA_GSE138536.secondStage.h5","44M","BRCA_GSE138536.secondStage.h5","yes"
"OV_GSE118828",7,"T010065","Human","None",9,"1,909","Smart-seq2","Primary, Metastatic","30383866","CD4Tconv, Endothelial, Fibroblasts, Malignant, Mono/Macro, Myofibroblasts","CD4Tn, Endothelial, Fibroblasts, M1, Malignant, Myofibroblasts","Immune cells, Malignant cells, Stromal cells",TRUE,28.4,NA,NA,"",NA,1909,"GSE118828","OV",FALSE,"",NA,"7587715_7","array_7587715_7.out","OV_GSE118828","1909","8.214278746","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:08:17",NA,NA,"24000M","08:13.5","29M","6-Aug","15:52","OV_GSE118828.pipeline.h5","COMPLETED","7723917_7",7723917,"array",24,"COMPLETED","0:03:27","48000M","billing=2+","03:27.3",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:03:26 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=2290216K mem=0"," vmem=2664840K vmem=0","OV_GSE118828.secondStage.h5","41M","OV_GSE118828.secondStage.h5","yes"
"SCLC_GSE150766",8,"T020177","Human","None",1,"1,924","10x Genomics","Primary","34016693","B, CD4Tconv, CD8Tex, Malignant, Mono/Macro, NK","B, CD4Tn, CD8Tex, Malignant, Monocyte, NK, pDC, Th1","Immune cells, Malignant cells",FALSE,69.5,NA,NA,"",NA,1924,"GSE150766","SCLC",FALSE,"",NA,"7587715_8","array_7587715_8.out","SCLC_GSE150766","1924","9.761895823","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:09:50",NA,NA,"24000M","09:49.6","44M","6-Aug","15:52","SCLC_GSE150766.pipeline.h5","COMPLETED","7723917_8",7723917,"array",24,"FAILED","0:03:49","48000M","billing=2+","03:49.9",912,"FAILED FAILED COMPLETED","48000M  ","billing=2+  "," cpu=00:03:49 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=2989272K mem=0"," vmem=3425688K vmem=0","SCLC_GSE150766.secondStage.h5","54M","SCLC_GSE150766.secondStage.h5","yes"
"LIHC_GSE179795",9,"T020124","Human","None",1,"2,352","10x Genomics","Primary","34340996","CD8T, ILC, Mono/Macro, NK","CD8T, ILC, Mono/Macro, NK","Immune cells",FALSE,26,NA,NA,"",NA,2352,"GSE179795","LIHC",FALSE,"",NA,"7587715_9","array_7587715_9.out","LIHC_GSE179795","2352","8.084071898","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:08:09",NA,NA,"24000M","08:07.9","13M","6-Aug","15:52","LIHC_GSE179795.pipeline.h5","COMPLETED","7723917_9",7723917,"array",24,"FAILED","0:02:12","48000M","billing=2+","02:08.0",912,"FAILED FAILED COMPLETED","48000M  ","billing=2+  "," cpu=00:02:07 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=2887872K mem=0"," vmem=3225732K vmem=0","LIHC_GSE179795.secondStage.h5","14M","LIHC_GSE179795.secondStage.h5","yes"
"BRCA_SRP114962",10,"T010015","Human","Chemotherapy",8,"2,472","SNRS","Primary","29681456","CD8Tex, Malignant","CD8Tex, Malignant","Immune cells, Malignant cells",FALSE,34.1,NA,NA,"",NA,2472,"SRP114962","BRCA",FALSE,"",NA,"7587715_10","array_7587715_10.out","BRCA_SRP114962","2472","12.10156281","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:12:09",NA,NA,"24000M","12:08.8","28M","6-Aug","15:51","BRCA_SRP114962.pipeline.h5","COMPLETED","7723917_10",7723917,"array",24,"FAILED","0:03:02","48000M","billing=2+","02:59.1",912,"FAILED FAILED COMPLETED","48000M  ","billing=2+  "," cpu=00:02:59 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=2818120K mem=0"," vmem=3243184K vmem=0","BRCA_SRP114962.secondStage.h5","35M","BRCA_SRP114962.secondStage.h5","yes"
